,artist_name,followers,genre,popularity,ID
0,Lindsey Stirling,"{'href': None, 'total': 1532973}","['bow pop', 'pop violin']",69,378dH6EszOLFShpRzAQkVM
1,Peach Pit,"{'href': None, 'total': 248847}","['indie pop', 'modern rock', 'vancouver indie']",66,6fC2AcsQtd9h4BWELbbire
2,Will Smith,"{'href': None, 'total': 646208}",['hip hop'],71,41qil2VaGbD194gaEcmmyx
3,Witt Lowry,"{'href': None, 'total': 377726}","['indie pop rap', 'pop rap']",67,5ghnxpW47ojtLHHyTLdxdY
4,Bill Withers,"{'href': None, 'total': 815504}","['classic soul', 'funk', 'motown', 'quiet storm', 'soul']",70,1ThoqLcyIYvZn7iWbj8fsj
5,Chris Janson,"{'href': None, 'total': 176589}","['contemporary country', 'country road', 'modern country rock']",64,60gmlHZmT16wiO9GiXKYK9
6,Sigala,"{'href': None, 'total': 1088281}","['dance pop', 'edm', 'pop', 'tropical house']",76,1IueXOQyABrMOprrzwQJWN
7,The Cranberries,"{'href': None, 'total': 1980484}","['irish rock', 'pop rock']",74,7t0rwkOPGlDPEhaOcVtOt9
8,Erykah Badu,"{'href': None, 'total': 1740541}","['afrofuturism', 'hip hop', 'neo soul', 'r&b', 'soul', 'urban contemporary']",68,7IfculRW2WXyzNQ8djX8WX
9,Duki,"{'href': None, 'total': 2945844}","['argentine hip hop', 'trap argentino']",81,1bAftSH8umNcGZ0uyV7LMg
10,Claude Debussy,"{'href': None, 'total': 888059}","['classical', 'post-romantic era']",70,1Uff91EOsvd99rtAupatMP
11,Sage The Gemini,"{'href': None, 'total': 663502}","['dance pop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap']",68,6d47Z08T4snK50HgTEHo5Z
12,Slim Jxmmi,"{'href': None, 'total': 82440}",['trap'],68,7EEiVZvj6RCEtVX2F2pyxu
13,Juan Gabriel,"{'href': None, 'total': 4146559}","['cancion melodica', 'latin', 'latin pop']",75,2MRBDr0crHWE5JwPceFncq
14,Brandy,"{'href': None, 'total': 1596902}","['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']",68,05oH07COxkXKIMt6mIPRee
15,Tears For Fears,"{'href': None, 'total': 1518278}","['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'soft rock', 'synthpop']",71,4bthk9UfsYUYdcFyqxmSUU
16,Cartel De Santa,"{'href': None, 'total': 5581692}","['latin hip hop', 'mexican hip hop']",77,07PdYoE4jVRF6Ut40GgVSP
17,Lost Kings,"{'href': None, 'total': 230769}","['dance pop', 'edm', 'indie poptimism', 'pop', 'pop edm', 'post-teen pop', 'tropical house']",67,3hyEbRtp617pNCuuQjyOmc
18,Lane 8,"{'href': None, 'total': 168390}","['gauze pop', 'progressive house', 'tropical house']",69,27gtK7m9vYwCyJ04zz0kIb
19,Pedro Cap√≥,"{'href': None, 'total': 1029088}","['latin', 'latin pop', 'puerto rican pop']",79,4QVBYiagIaa6ZGSPMbybpy
20,Shaggy,"{'href': None, 'total': 1313916}","['dance pop', 'pop rap', 'reggae fusion']",72,5EvFsr3kj42KNv97ZEnqij
21,DRAM,"{'href': None, 'total': 765651}","['pop rap', 'rap', 'trap']",66,5M0lbkGluOPXLeFjApw8r8
22,Lute,"{'href': None, 'total': 57461}","['nc hip hop', 'underground hip hop']",65,75WcpJKWXBV3o3cfluWapK
23,FKJ,"{'href': None, 'total': 687121}","['filter house', 'indie soul']",70,2FwDTncULUnmANIh7qKa5z
24,deadmau5,"{'href': None, 'total': 2413332}","['big room', 'canadian electronic', 'edm', 'electro house', 'progressive house']",69,2CIMQHirSU0MQqyYHq0eOx
25,Xavier Wulf,"{'href': None, 'total': 254160}","['dark trap', 'emo rap', 'underground hip hop', 'vapor trap']",64,3uo0ix4Y67XHVWBhXXIY1S
26,Raffi,"{'href': None, 'total': 67037}","[""canadian children's music"", ""children's folk"", ""children's music""]",64,7oWSqrgMuIEyH9qp5nu2e5
27,Anitta,"{'href': None, 'total': 9007118}","['baile pop', 'funk carioca', 'funk das antigas']",84,7FNnA9vBm6EKceENgCGRMb
28,Dean Martin,"{'href': None, 'total': 858835}","['adult standards', 'easy listening', 'lounge', 'vocal jazz']",68,49e4v89VmlDcFCMyDv9wQ9
29,Mabel,"{'href': None, 'total': 680791}","['dance pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",79,1MIVXf74SZHmTIp4V4paH4
30,George Jones,"{'href': None, 'total': 585583}","['country', 'country rock', 'honky tonk']",64,2OpqcUtj10HHvGG6h9VYC5
31,Sade,"{'href': None, 'total': 1880679}","['british soul', 'neo soul']",70,47zz7sob9NUcODy0BTDvKx
32,Method Man,"{'href': None, 'total': 1106138}","['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']",69,4VmEWwd8y9MCLwexFMdpwt
33,Ray LaMontagne,"{'href': None, 'total': 743316}","['acoustic pop', 'indie folk', 'neo mellow', 'pop rock', 'stomp and holler']",67,6DoH7ywD5BcQvjloe9OcIj
34,Birdy,"{'href': None, 'total': 3011625}","['neo mellow', 'pop']",73,2WX2uTcsvV5OnS0inACecP
35,ZHU,"{'href': None, 'total': 542001}","['edm', 'house']",69,28j8lBWDdDSHSSt5oPlsX2
36,Faith Hill,"{'href': None, 'total': 1065204}","['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']",66,25NQNriVT2YbSW80ILRWJa
37,Victorious Cast,"{'href': None, 'total': 1178280}","['dance pop', 'post-teen pop', 'social media pop', 'viral pop']",66,1KYszkVzlhV3rAqmAcYIgd
38,JP Cooper,"{'href': None, 'total': 501554}","['dance pop', 'neo mellow', 'pop', 'tropical house', 'uk pop']",75,4kYGAK2zu9EAomwj3hXkXy
39,Jessie J,"{'href': None, 'total': 7270848}","['dance pop', 'pop', 'pop rap', 'post-teen pop', 'uk pop', 'viral pop']",74,2gsggkzM5R49q6jpPvazou
40,Zeds Dead,"{'href': None, 'total': 432687}","['brostep', 'canadian electronic', 'edm', 'electro house', 'electronic trap', 'progressive electro house']",65,67qogtRNI0GjUr8PlaG6Zh
41,John K,"{'href': None, 'total': 26752}",[ëedmí],68,73eAAfRkS2Vi4hx68oTJJE
42,Petit Biscuit,"{'href': None, 'total': 711822}","['new french touch', 'tropical house']",71,6gK1Uct5FEdaUWRWpU4Cl2
43,Above & Beyond,"{'href': None, 'total': 575768}","['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",69,10gzBoINW3cLJfZUka8Zoe
44,Lentra,"{'href': None, 'total': 8347}",['canadian hip hop'],67,484bfoveqgHfx2VhNY4zzT
45,Iron Maiden,"{'href': None, 'total': 5216380}","['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']",75,6mdiAmATAx73kdxrNrnlao
