,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Def Leppard,Pour Some Sugar On Me - Remastered 2017,0PdM2a6oIjqepoEfcJo0RO,74,0.267,0.953,1,-4.899,0,0.096,0.00211,0.0,0.283,0.568,84.989,267307,4
1,Fleetwood Mac,Everywhere - 2017 Remaster,254bXAqt3zP6P50BdQvEsq,77,0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,226653,4
2,David Bowie,Heroes - 2017 Remaster,7Jh1bpe76CNTCgdgAdBw4Z,75,0.49,0.758,7,-6.491,1,0.0297,0.000671,0.484,0.092,0.435,112.114,371413,4
3,Stone Temple Pilots,Plush - 2017 Remaster,0CkspLl535ZxdwCRs8AdZ4,61,0.426,0.94,7,-5.279,0,0.0423,0.00671,1.72e-06,0.14,0.466,144.49,313947,4
4,Fleetwood Mac,Little Lies - 2017 Remaster,4CoSCPlKNrWli7E5kFtbcl,69,0.64,0.649,2,-10.345,1,0.0264,0.216,8.3e-05,0.0551,0.865,124.825,221053,4
5,Def Leppard,Love Bites - Remastered 2017,3Dfy8YIxq89i84t108TvMi,64,0.59,0.743,0,-7.078,0,0.0347,0.067,0.00093,0.0847,0.413,129.79,346960,4
6,Stone Temple Pilots,Creep - 2017 Remaster,6dmueYtoihUhlQZlImBCmm,60,0.662,0.485,4,-9.161,0,0.0304,0.00483,0.000295,0.086,0.171,107.767,334387,4
7,Victor Internet,2017,1Khnj7cLdczWquaCq5d33K,28,0.501,0.806,0,-4.657,1,0.0696,0.19,3.86e-05,0.763,0.514,129.963,182000,4
8,Aitana,Con Las Ganas - Operación Triunfo 2017,34SxItsR9EeeSEfiG9wwso,0,0.519,0.246,4,-8.479,1,0.0327,0.887,0.0,0.0701,0.317,133.208,172059,4
9,Aitana,Procuro Olvidarte - Operación Triunfo 2017,5q2Vb4kmroSp0K9Ok47Zkd,0,0.374,0.248,4,-9.401,0,0.0379,0.961,3.76e-06,0.137,0.104,165.63,198395,4
10,Aitana,Walking On Sunshine - Operación Triunfo 2017,7ijz37N7tk0hCj2W145PbR,0,0.646,0.932,5,-2.755,0,0.0446,0.000347,0.00105,0.0895,0.758,109.581,137653,4
11,The Cars,Drive - 2017 Remaster,2lFFiNm0XtgJ6wkdncTB4k,67,0.261,0.703,6,-7.871,1,0.0414,0.115,0.00078,0.102,0.405,83.495,234332,4
12,Dr. Sounds,2017 AD,0rvTSf7HWYqYkuzPff1tqh,29,0.0931,0.151,0,-18.435,0,0.0404,0.939,0.924,0.121,0.0391,79.983,137288,3
13,Fleetwood Mac,Seven Wonders - 2017 Remaster,1VN2vWSkSmMKOhxr8lHzSx,63,0.707,0.625,4,-9.529,1,0.0303,0.0259,5.42e-05,0.104,0.634,119.049,222400,4
14,Stone Temple Pilots,Sex Type Thing - 2017 Remaster,6skC0VsaOZE1kG4CwXI2Zj,57,0.404,0.925,9,-7.336,1,0.041,1.39e-06,0.628,0.0418,0.773,134.177,217813,4
15,Anthem Lights,Class of 2017 Mash-Up: My Wish / I Hope You Dance / The Climb / I Lived,4MODTnPdps3hsz2sS7UAqC,58,0.305,0.358,4,-7.395,1,0.0378,0.766,0.0,0.0992,0.259,72.331,213303,4
16,Cdot Honcho,2017,0KWjLOq7ePQ5u5ekjD2QdH,22,0.713,0.561,5,-8.411,0,0.383,0.415,1.28e-06,0.159,0.734,159.794,137587,4
17,Fugimania,2017,5UMQ0ZVo9yRJP8I5EfbaOg,20,0.605,0.721,1,-9.653,1,0.704,0.292,0.0,0.072,0.519,136.537,245440,4
18,Def Leppard,Armageddon It - Remastered 2017,16MQZkAIAAtI4X5NuiEwuq,52,0.65,0.921,9,-6.014,1,0.0359,0.000798,0.0298,0.134,0.648,119.8,322867,4
19,David Bowie,Sound and Vision - 2017 Remaster,1vP2JEXRsGrFbwOZ0foOQ5,61,0.667,0.804,2,-8.583,1,0.0398,0.0328,0.0544,0.0632,0.759,105.797,184382,4
20,Stone Temple Pilots,Wicked Garden - 2017 Remaster,7FblcKgEyo6zZjSMAnYpOX,51,0.216,0.914,2,-6.54,1,0.0644,2e-05,4.81e-05,0.104,0.379,153.126,245267,4
21,Stone Temple Pilots,Wicked Garden - 2017 Remaster,7FblcKgEyo6zZjSMAnYpOX,51,0.216,0.914,2,-6.54,1,0.0644,2e-05,4.81e-05,0.104,0.379,153.126,245267,4
22,Stone Temple Pilots,Wicked Garden - 2017 Remaster,7FblcKgEyo6zZjSMAnYpOX,51,0.216,0.914,2,-6.54,1,0.0644,2e-05,4.81e-05,0.104,0.379,153.126,245267,4
23,Stone Temple Pilots,Wicked Garden - 2017 Remaster,7FblcKgEyo6zZjSMAnYpOX,51,0.216,0.914,2,-6.54,1,0.0644,2e-05,4.81e-05,0.104,0.379,153.126,245267,4
24,Fleetwood Mac,Big Love - 2017 Remaster,0hOA8SoraNo2ZP1amtVYnY,58,0.709,0.699,10,-11.905,0,0.0466,0.0291,0.295,0.0673,0.592,125.377,223733,4
25,Fleetwood Mac,Big Love - 2017 Remaster,0hOA8SoraNo2ZP1amtVYnY,58,0.709,0.699,10,-11.905,0,0.0466,0.0291,0.295,0.0673,0.592,125.377,223733,4
26,Fleetwood Mac,Big Love - 2017 Remaster,0hOA8SoraNo2ZP1amtVYnY,58,0.709,0.699,10,-11.905,0,0.0466,0.0291,0.295,0.0673,0.592,125.377,223733,4
27,Fleetwood Mac,Big Love - 2017 Remaster,0hOA8SoraNo2ZP1amtVYnY,58,0.709,0.699,10,-11.905,0,0.0466,0.0291,0.295,0.0673,0.592,125.377,223733,4
28,David Bowie,Ashes to Ashes - 2017 Remaster,37CRPk0L5ZpfPeePEPwE0t,61,0.71,0.743,1,-10.553,1,0.0507,0.273,0.000406,0.258,0.866,120.277,266160,4
29,David Bowie,Ashes to Ashes - 2017 Remaster,37CRPk0L5ZpfPeePEPwE0t,61,0.71,0.743,1,-10.553,1,0.0507,0.273,0.000406,0.258,0.866,120.277,266160,4
30,David Bowie,Ashes to Ashes - 2017 Remaster,37CRPk0L5ZpfPeePEPwE0t,61,0.71,0.743,1,-10.553,1,0.0507,0.273,0.000406,0.258,0.866,120.277,266160,4
31,David Bowie,Ashes to Ashes - 2017 Remaster,37CRPk0L5ZpfPeePEPwE0t,61,0.71,0.743,1,-10.553,1,0.0507,0.273,0.000406,0.258,0.866,120.277,266160,4
32,The Flaming Lips,Race for the Prize - 2017 Remaster,1RZlGlz8eXT1KmJYpqFRzH,56,0.326,0.841,0,-7.14,1,0.0858,4.56e-05,0.028,0.251,0.449,130.723,258912,4
33,The Flaming Lips,Race for the Prize - 2017 Remaster,1RZlGlz8eXT1KmJYpqFRzH,56,0.326,0.841,0,-7.14,1,0.0858,4.56e-05,0.028,0.251,0.449,130.723,258912,4
34,The Flaming Lips,Race for the Prize - 2017 Remaster,1RZlGlz8eXT1KmJYpqFRzH,56,0.326,0.841,0,-7.14,1,0.0858,4.56e-05,0.028,0.251,0.449,130.723,258912,4
35,The Flaming Lips,Race for the Prize - 2017 Remaster,1RZlGlz8eXT1KmJYpqFRzH,56,0.326,0.841,0,-7.14,1,0.0858,4.56e-05,0.028,0.251,0.449,130.723,258912,4
36,Prince,"I Would Die 4 U - 7"" Single Edit; 2017 Remaster",4hvxrI9P7c480gW0arZn3d,53,0.738,0.79,2,-8.308,1,0.036,0.0165,0.00282,0.296,0.573,135.148,178267,4
37,Prince,"I Would Die 4 U - 7"" Single Edit; 2017 Remaster",4hvxrI9P7c480gW0arZn3d,53,0.738,0.79,2,-8.308,1,0.036,0.0165,0.00282,0.296,0.573,135.148,178267,4
38,Prince,"I Would Die 4 U - 7"" Single Edit; 2017 Remaster",4hvxrI9P7c480gW0arZn3d,53,0.738,0.79,2,-8.308,1,0.036,0.0165,0.00282,0.296,0.573,135.148,178267,4
39,Prince,"I Would Die 4 U - 7"" Single Edit; 2017 Remaster",4hvxrI9P7c480gW0arZn3d,53,0.738,0.79,2,-8.308,1,0.036,0.0165,0.00282,0.296,0.573,135.148,178267,4
40,Spoon,The Underdog,6MCYY4i1zrRIbVj9YlVUdF,58,0.693,0.527,7,-10.856,1,0.0365,0.0667,0.00143,0.663,0.911,145.165,222107,4
41,Spoon,The Underdog,6MCYY4i1zrRIbVj9YlVUdF,58,0.693,0.527,7,-10.856,1,0.0365,0.0667,0.00143,0.663,0.911,145.165,222107,4
42,Spoon,The Underdog,6MCYY4i1zrRIbVj9YlVUdF,58,0.693,0.527,7,-10.856,1,0.0365,0.0667,0.00143,0.663,0.911,145.165,222107,4
43,Spoon,The Underdog,6MCYY4i1zrRIbVj9YlVUdF,58,0.693,0.527,7,-10.856,1,0.0365,0.0667,0.00143,0.663,0.911,145.165,222107,4
44,Ramones,Sheena Is a Punk Rocker - 2017 Remaster,61MZN0yyMWSEwrLPUUGfgJ,59,0.42,0.965,0,-1.986,1,0.0403,0.0981,0.000335,0.0784,0.846,176.243,169920,4
45,Ramones,Sheena Is a Punk Rocker - 2017 Remaster,61MZN0yyMWSEwrLPUUGfgJ,59,0.42,0.965,0,-1.986,1,0.0403,0.0981,0.000335,0.0784,0.846,176.243,169920,4
46,Ramones,Sheena Is a Punk Rocker - 2017 Remaster,61MZN0yyMWSEwrLPUUGfgJ,59,0.42,0.965,0,-1.986,1,0.0403,0.0981,0.000335,0.0784,0.846,176.243,169920,4
47,Ramones,Sheena Is a Punk Rocker - 2017 Remaster,61MZN0yyMWSEwrLPUUGfgJ,59,0.42,0.965,0,-1.986,1,0.0403,0.0981,0.000335,0.0784,0.846,176.243,169920,4
48,Fleetwood Mac,Seven Wonders - Early Version; 2017 Remaster,51LhklOVtu2KixJMzinIV0,55,0.675,0.527,3,-9.501,1,0.0263,0.0448,2.65e-06,0.101,0.66,113.881,274253,4
49,Fleetwood Mac,Seven Wonders - Early Version; 2017 Remaster,51LhklOVtu2KixJMzinIV0,55,0.675,0.527,3,-9.501,1,0.0263,0.0448,2.65e-06,0.101,0.66,113.881,274253,4
50,Fleetwood Mac,Seven Wonders - Early Version; 2017 Remaster,51LhklOVtu2KixJMzinIV0,55,0.675,0.527,3,-9.501,1,0.0263,0.0448,2.65e-06,0.101,0.66,113.881,274253,4
51,Fleetwood Mac,Seven Wonders - Early Version; 2017 Remaster,51LhklOVtu2KixJMzinIV0,55,0.675,0.527,3,-9.501,1,0.0263,0.0448,2.65e-06,0.101,0.66,113.881,274253,4
52,White Noise Spa,Soothing Deep Pink Noise,5wf3wwLBJj4j46xtJETZ8L,58,0.0,2.03e-05,10,-20.961,0,0.0,0.956,0.238,0.131,0.0,0.0,300300,0
53,White Noise Spa,Soothing Deep Pink Noise,5wf3wwLBJj4j46xtJETZ8L,58,0.0,2.03e-05,10,-20.961,0,0.0,0.956,0.238,0.131,0.0,0.0,300300,0
54,White Noise Spa,Soothing Deep Pink Noise,5wf3wwLBJj4j46xtJETZ8L,58,0.0,2.03e-05,10,-20.961,0,0.0,0.956,0.238,0.131,0.0,0.0,300300,0
55,White Noise Spa,Soothing Deep Pink Noise,5wf3wwLBJj4j46xtJETZ8L,58,0.0,2.03e-05,10,-20.961,0,0.0,0.956,0.238,0.131,0.0,0.0,300300,0
56,Yerin Baek,Square (2017),0WZhf0isd4av5qlFfKknC3,57,0.514,0.792,8,-5.242,1,0.0404,0.0626,0.0,0.259,0.514,99.897,261763,4
57,Yerin Baek,Square (2017),0WZhf0isd4av5qlFfKknC3,57,0.514,0.792,8,-5.242,1,0.0404,0.0626,0.0,0.259,0.514,99.897,261763,4
58,Yerin Baek,Square (2017),0WZhf0isd4av5qlFfKknC3,57,0.514,0.792,8,-5.242,1,0.0404,0.0626,0.0,0.259,0.514,99.897,261763,4
